Date,Open,High,Low,Close,Adj Close,Volume
2020-08-06,644.950012,665.750000,644.000000,660.650024,642.097839,258854
2020-08-07,663.000000,680.000000,659.000000,676.950012,657.940125,145808
2020-08-10,677.750000,686.000000,670.500000,673.849976,654.927124,364207
2020-08-11,680.000000,682.000000,666.000000,674.900024,655.947693,139221
2020-08-12,672.500000,672.500000,650.099976,664.500000,645.839722,278967
2020-08-13,670.349976,705.200012,664.500000,702.599976,682.869812,251200
2020-08-14,705.000000,730.849976,676.599976,686.450012,667.173340,673493
2020-08-17,692.750000,708.099976,675.950012,679.250000,660.175537,250993
2020-08-18,679.250000,693.450012,673.150024,691.049988,671.644104,278906
2020-08-19,697.000000,707.400024,686.400024,689.200012,669.846130,176428
2020-08-20,687.500000,696.500000,679.000000,687.849976,668.533997,160619
2020-08-21,694.000000,698.000000,684.000000,686.799988,667.513489,145708
2020-08-24,687.000000,690.900024,680.599976,684.299988,665.083679,141877
2020-08-25,690.000000,706.950012,686.250000,694.900024,675.386047,135588
2020-08-26,695.099976,730.549988,694.000000,726.549988,706.147217,293978
2020-08-27,735.000000,748.000000,717.000000,720.200012,699.975586,500027
2020-08-28,725.049988,783.799988,725.049988,772.099976,750.418152,605022
2020-08-31,780.000000,792.750000,697.849976,702.400024,682.675476,336782
2020-09-01,715.000000,719.599976,678.000000,706.650024,686.806091,269262
2020-09-02,711.000000,711.450012,683.099976,692.549988,673.102051,183482
2020-09-03,696.049988,712.000000,693.250000,698.450012,678.836365,188654
2020-09-04,685.200012,697.750000,670.700012,686.849976,667.562073,283045
2020-09-07,691.000000,693.500000,675.500000,687.599976,668.291016,111401
2020-09-08,686.000000,688.000000,658.900024,662.549988,643.944458,149726
2020-09-09,657.500000,657.500000,630.299988,639.099976,621.152954,153965
2020-09-10,646.950012,653.250000,620.700012,629.599976,611.919800,221555
2020-09-11,632.000000,647.200012,609.549988,643.099976,625.040649,151620
2020-09-14,652.000000,652.000000,631.549988,635.900024,618.042908,90954
2020-09-15,641.000000,655.650024,635.150024,652.650024,634.322510,100761
2020-09-16,651.200012,665.750000,646.000000,657.950012,639.473694,193670
2020-09-17,657.700012,660.849976,646.950012,653.599976,635.245789,90363
2020-09-18,658.950012,661.599976,634.000000,646.950012,628.782593,75062
2020-09-21,649.950012,652.650024,631.099976,637.400024,619.500793,156660
2020-09-22,631.799988,647.000000,612.900024,640.400024,622.416565,96426
2020-09-23,649.000000,650.000000,607.549988,613.549988,596.320496,130466
2020-09-24,590.000000,605.150024,555.900024,565.750000,549.862793,322822
2020-09-25,570.250000,593.700012,570.250000,589.950012,573.383240,151154
2020-09-28,595.299988,626.000000,595.299988,615.150024,597.875549,95676
2020-09-29,622.200012,626.000000,604.000000,609.150024,592.044128,81282
2020-09-30,612.599976,633.450012,605.000000,619.450012,602.054810,89013
2020-10-01,621.000000,664.400024,621.000000,658.400024,639.911011,329917
2020-10-05,660.000000,675.549988,647.750000,655.250000,636.849487,76517
2020-10-06,661.700012,664.849976,646.400024,655.099976,636.703613,100140
2020-10-07,653.400024,653.400024,626.549988,633.650024,615.856079,126282
2020-10-08,641.500000,653.000000,633.400024,638.500000,620.569824,69436
2020-10-09,635.950012,649.900024,630.500000,641.150024,623.145447,90527
2020-10-12,642.500000,666.599976,641.700012,661.900024,643.312744,335328
2020-10-13,664.000000,667.950012,648.000000,651.500000,633.204773,104809
2020-10-14,642.400024,670.950012,640.000000,666.599976,647.880737,74714
2020-10-15,670.000000,673.500000,628.700012,632.250000,614.495361,122334
2020-10-16,636.099976,648.849976,626.000000,646.700012,628.539551,90439
2020-10-19,648.500000,664.400024,644.950012,656.849976,638.404541,65698
2020-10-20,651.150024,661.349976,648.150024,659.150024,640.640015,36266
2020-10-21,665.000000,682.900024,647.599976,665.799988,647.103210,334477
2020-10-22,645.500000,703.650024,645.500000,700.150024,680.488708,174359
2020-10-23,702.000000,717.799988,699.500000,708.900024,688.992981,255055
2020-10-26,705.099976,708.200012,686.200012,690.200012,670.818054,68205
2020-10-27,691.000000,748.500000,683.400024,736.700012,716.012268,431216
2020-10-28,733.000000,733.000000,707.250000,711.849976,691.860046,106697
2020-10-29,685.000000,705.200012,682.200012,698.750000,679.127930,84565
2020-10-30,707.000000,730.000000,669.849976,692.700012,673.247803,266053
2020-11-02,709.950012,765.000000,696.349976,754.200012,733.020813,627761
2020-11-03,754.200012,772.950012,750.349976,762.650024,741.233459,165786
2020-11-04,756.000000,792.500000,751.700012,788.950012,766.794983,127466
2020-11-05,790.200012,820.849976,779.799988,815.750000,792.842407,255075
2020-11-06,816.250000,862.000000,803.150024,846.049988,822.291443,329959
2020-11-09,848.000000,858.549988,826.049988,835.700012,812.232117,193657
2020-11-10,840.000000,872.400024,831.099976,855.450012,831.427551,180843
2020-11-11,858.750000,890.000000,847.549988,883.200012,858.398254,253182
2020-11-12,867.000000,876.299988,838.200012,860.700012,836.530090,134652
2020-11-13,858.000000,879.549988,848.450012,875.950012,851.351868,98948
2020-11-14,880.000000,884.049988,862.750000,871.849976,847.366943,8468
2020-11-17,872.000000,879.650024,856.299988,861.200012,837.016113,78791
2020-11-18,860.900024,930.799988,849.250000,925.950012,899.947754,280782
2020-11-19,919.849976,998.049988,902.150024,911.400024,885.806396,510057
2020-11-20,919.000000,949.900024,904.650024,934.200012,907.966125,306205
2020-11-23,940.000000,978.799988,940.000000,974.599976,947.231628,1289129
2020-11-24,984.000000,1042.550049,973.950012,1029.349976,1000.444092,779620
2020-11-25,1037.000000,1087.650024,1033.199951,1065.550049,1035.627686,728675
